MeterPoint Code,Serial Number,Plant Code,Date/Time,Data Type,Data Value,Units,Status
210095893,210095893,ED031000001,31/08/2015 0:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 1:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 1:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 1:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 1:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 2:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 2:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 2:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 2:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 3:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 3:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 3:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 3:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 4:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 4:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 4:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 4:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 5:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 5:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 5:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 5:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 6:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 6:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 6:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 6:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 7:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 7:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 7:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 7:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 8:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 8:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 8:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 8:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 9:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 9:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 9:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 9:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 10:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 10:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 10:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 10:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 11:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 11:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 11:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 11:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 12:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 12:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 12:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 12:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 13:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 13:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 13:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 13:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 14:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 14:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 14:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 14:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 15:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 15:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 15:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 15:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 16:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 16:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 16:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 16:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 17:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 17:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 17:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 17:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 18:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 18:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 18:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 18:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 19:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 19:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 19:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 19:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 20:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 20:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 20:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 20:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 21:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 21:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 21:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 21:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 22:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 22:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 22:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 22:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 23:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 23:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 23:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 23:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,1/09/2015 0:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,1/09/2015 0:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,1/09/2015 0:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31/08/2015 0:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 1:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 1:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 1:30,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 1:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 2:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 2:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 2:30,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 2:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 3:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 3:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 3:30,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 3:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 4:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 4:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 4:30,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 4:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 5:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 5:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 5:30,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 5:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 6:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 6:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 6:30,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 6:45,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 7:00,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 7:15,Import varh Total,0,kvarh,
210095893,210095893,ED031000001,31/08/2015 7:30,Import varh Total,0,kvarh,
